date,district_id,10_day_rainfall_mm,long_term_avg_mm,1 month_aggregation_mm,1 month_aggregation_long_term_avg_mm,3 month_aggregation_mm,3 month_aggregation_mm,anomaly,1 month_anomaly,3 month_anomaly
2026-04-01,BD6090,49.634327,99.40274,339.8806,189.1816,374.82837,374.82837,52.330357,177.60727,157.34674
2026-04-01,BD6091,91.37302,115.988625,424.7619,235.44498,467.23013,467.23013,79.65461,178.73607,154.2721
2026-04-01,BD3093,21.46281,36.73774,107.64462,72.5427,128.0248,128.0248,63.4026,145.26785,119.82075
2026-04-01,BD5594,12.893939,17.653536,85,36.984344,96.166664,96.166664,78.98962,214.36563,157.90468
2026-04-01,BD4539,17,33.666233,95.298706,62.545887,112.4026,112.4026,56.897186,148.48973,122.59456
2026-04-01,BD4561,26.20915,48.46972,128.00653,89.561005,151.56863,151.56863,58.367897,140.65686,121.76649
2026-04-01,BD4572,30.376238,72.72706,188.9802,126.60231,215.83168,215.83168,45.513412,147.39877,131.99117
2026-04-01,BD4589,20.125,39.35764,127.125,76.63333,146.97916,146.97916,56.641876,161.85178,137.1739
2026-04-01,BD1009,10.581819,35.45273,64.74545,80.451515,84.09091,84.09091,38.518585,81.61991,77.005684
2026-04-01,BD2022,24.084507,26.73615,38.577465,44.658684,52.436623,52.436623,91.64472,87.75397,88.09107
2026-04-01,BD2015,25.509933,37.600662,65.28477,77.33996,90.40398,90.40398,71.61845,85.359245,87.82219
2026-04-01,BD2030,19.966667,40.733334,76.53333,86.21778,100.6,100.6,54.59184,89.383156,87.34651
2026-04-01,BD2075,15.376471,32.701176,63.02353,79.21373,83.05882,83.05882,54.04731,80.774864,78.17395
2026-04-01,BD2051,10.136364,36.292423,64.75,83.094696,84.204544,84.204544,36.656517,79.17616,76.03004
2026-04-01,BD1009,17.338984,34.066666,54.322037,69.84633,74.40678,74.40678,57.181698,79.258446,76.2334
2026-04-01,BD1006,6.275,33.447918,64.875,75.86875,86.3625,86.3625,29.325384,86.40544,81.75159
2026-04-01,BD1078,23.044945,35.058052,59.82023,70.47303,80.14607,80.14607,70.01076,85.885284,80.157684
2026-04-01,BD2013,7.826923,48.416668,93.78845,99.74103,114.13461,114.13461,24.01296,94.316864,90.34519
2026-04-01,BD3086,8.071428,41.98016,98.0238,94.48174,121.38095,121.38095,27.823294,103.56052,96.08226
2026-04-01,BD1004,22.666666,29.224836,58.45098,61.958824,79.68627,79.68627,80.837975,94.76119,86.15198
2026-04-01,BD1079,12.880953,28.59127,60.11905,64.87778,81.5,81.5,53.230953,93.189926,84.56507
2026-04-01,BD4087,25.091667,21.450832,81.333336,48.754444,103.11666,103.11666,113.764534,160.60689,121.32944
2026-04-01,BD4047,21.6,23.930666,76.799995,56.094666,96.344,96.344,91.94396,133.89056,109.27347
2026-03-21,BD4001,21.186047,22.455814,50.5969,38.83075,66.22481,66.22481,95.37524,126.84451,98.37891
2026-03-21,BD2003,8.816456,14.946414,20.56962,24.131435,32.670887,32.670887,69.26786,87.77329,86.44043
2026-03-21,BD5010,17.142857,13.592177,55.224487,23.4517,65.16327,65.16327,119.097694,211.67271,143.39839
2026-03-21,BD2012,65.850746,44.705475,158.50746,80.338806,170.83582,170.83582,142.54114,191.59802,158.96997
2026-03-21,BD4018,43.166668,20.773016,88.02381,36.45238,104.7619,104.7619,186.88799,224.41127,157.05736
2026-03-21,BD2019,40.726414,38.80975,104.65094,64.23365,115.59433,115.59433,104.37497,158.3781,134.54184
2026-03-21,BD3026,61.72222,37.62963,133.64815,64.333336,143.46295,143.46295,156.51607,199.97328,160.32288
2026-03-21,BD5527,19.578512,12.705785,62.710747,22.373554,71.19009,71.19009,138.81628,247.35825,167.86847
2026-03-21,BD3029,48.61644,33.611874,101.753426,53.221004,115.328766,115.328766,138.85997,183.35895,142.6885
2026-03-21,BD5532,22.2875,18.055834,81.65,29.931667,92.549995,92.549995,118.354,248.05573,177.14622
2026-03-21,BD3033,62.078125,34.771873,133.90625,61.872395,144.875,144.875,168.6572,207.7184,166.60202
2026-03-21,BD3035,33.04,31.365334,81.28,50.233334,95.64,95.64,104.60512,156.21002,122.05889
2026-03-21,BD6036,90.786514,52.343445,219.8764,90.257675,232.35954,232.35954,167.04004,236.07169,192.47005
2026-03-21,BD4041,45.252747,26.462637,98.04396,43.900368,116.31868,116.31868,159.72198,210.72226,150.86365
2026-03-21,BD1042,23.833334,27.88889,60.375,48.745834,74.583336,74.583336,87.66892,121.63733,101.63178
2026-03-21,BD4044,48.61194,22.490547,96.149254,37.791046,113.835815,113.835815,195.01955,236.37949,161.09581
2026-03-21,BD5038,16.62857,13.1104765,56.285713,22.434286,65.2,65.2,119.425735,223.39096,151.5918
2026-03-21,BD2046,37.637257,38.389214,104.66667,65.68039,122,122,98.266945,155.15855,132.73357
2026-03-21,BD3048,71.76923,40.227104,158.98901,71.421616,170.70331,170.70331,169.74165,214.5846,171.24834
2026-03-21,BD5549,42.851852,23.745268,115.74074,37.66996,128.46913,128.46913,166.46863,282.96426,199.88042
2026-03-21,BD4050,39.625,19.111904,76.75,33.04524,92.33929,92.33929,185.07455,214.87576,140.84665
2026-03-21,BD5552,42.31818,18.093939,97.25,28.15909,108.93181,108.93181,204.89438,308.3619,217.39255
2026-03-21,BD3054,36.682926,36.795124,97.34146,59.88862,111.17073,111.17073,99.73155,157.71866,128.74481
2026-03-21,BD4055,51.2973,26.604506,100.89189,42.80811,117.567566,117.567566,178.13062,221.49358,157.94606
2026-03-21,BD3056,55.9,30.824667,113.72,52.384666,125.86,125.86,169.9946,206.88452,156.64478
2026-03-21,BD6058,107.55319,70.21454,322.2447,123.59255,338.98938,338.98938,149.64287,254.48181,209.70154
2026-03-21,BD4057,38.185184,18.075308,76.703705,32.153088,92.18518,92.18518,187.1489,219.91093,150.53065
2026-03-21,BD3059,56.65625,43.008335,133.0625,71.55,144.84375,144.84375,128.42822,180.35597,148.3112
2026-03-21,BD5064,17.193548,12.503494,49.34677,23.020699,59.895157,59.895157,126.79496,193.95224,132.14766
2026-03-21,BD4065,39.675674,28.335135,87.48649,45.41802,104.081085,104.081085,134.01978,183.43936,137.32562
2026-03-21,BD3067,60.08,41.86667,135.64,69.57733,145.08,145.08,138.86201,188.58278,154.99649
2026-03-21,BD3068,66.85714,39.344444,146.7619,69.43968,157.7619,157.7619,162.04317,203.87233,166.39621
2026-03-21,BD5069,25.375,15.47037,55.47222,26.451853,66.77778,66.77778,148.3852,192.26918,128.67244
2026-03-21,BD5070,15.275862,10.70115,40.965515,20.321838,52.931038,52.931038,129.13615,181.52519,121.74208
2026-03-21,BD5573,32.74576,15.491526,85.42373,26.238419,94.67796,94.67796,184.20181,289.4632,200.94304
2026-03-21,BD5076,40.837208,23.015892,85.54651,39.8438,101.86046,101.86046,163.61145,201.91533,140.72284
2026-03-21,BD5577,35.76,15.430667,90.22,27.876,100.31999,100.31999,199.504,289.6338,204.47574
2026-03-21,BD3082,51.923077,27.81282,98.84615,46.257267,114.230774,114.230774,173.47816,202.5979,149.62354
2026-03-21,BD5081,22.92941,14.050588,57.305878,26.964314,68.82353,68.82353,146.60657,194.92325,131.01303
2026-03-21,BD2084,26.745947,29.932253,71.82703,50.907387,87.62703,87.62703,90.87862,137.41838,118.75726
2026-03-21,BD5585,26.662651,17.74498,86.15663,29.402811,94.385544,94.385544,139.20721,264.96857,192.25003
2026-03-21,BD5088,27.329546,20.336363,74.78409,35.64962,92.73863,92.73863,127.601364,196.27266,136.8032
2026-03-21,BD6090,113.4403,63.479603,311.63434,109.8898,327.01492,327.01492,172.95706,275.5983,229.3764
2026-03-21,BD6091,117.19841,85.50952,357.2381,143.64154,376.89685,376.89685,135.01166,243.6991,198.37297
2026-03-21,BD3093,35.330578,25.177135,95.31405,44.472176,108.47107,108.47107,133.64615,202.76862,146.66661
2026-03-21,BD5594,25.212122,12.9010105,76.78788,24.78687,85.27273,85.27273,168.77328,274.57697,183.39832
2026-03-21,BD4539,23.662338,20.561039,85.233765,35.557575,97.298706,97.298706,112.13292,222.48314,156.56616
2026-03-21,BD4561,36.61438,28.073639,113.86275,51.745316,127.35948,127.35948,125.82342,209.46706,159.35214
2026-03-21,BD4572,62.9901,38.02574,173.44554,66.34621,187.45544,187.45544,158.0219,250.11215,197.66385
2026-03-21,BD4589,29.604166,25.651388,116.854164,46.199306,128.85417,128.85417,112.895905,237.99963,179.40579
2026-03-21,BD1009,23.981817,32.56606,63.854546,53.969696,74.6,74.6,77.14894,116.76259,97.45131
2026-03-21,BD2022,7.9859157,13.459624,18.267607,21.725822,29.352114,29.352114,70.347664,87.060394,85.700226
